a&e,architecture and engineering
a&p,airframe and powerplant
a/a,air to air
a/c,approach control
a/fd,airport/facilites directory
a/g,air to ground
a/h,altitude/height
a/l,autoland
a/s,airspeed
aaa,airport airspace analysis
aab,aircraft accident briefing
aad,assigned altitude deviation
aaf-1,director of airway facilities
aag,alaska aviation guidance
aai,faa office of accident investigation
aaitvl,arrival aircraft interval
aal,above aerodrome level
aam,advance air mobilty
aams,aircraft arrival management system
aap,advanced automation program
aar,aircraft accident report
aas,airport advisory service
aasr,aging aircraft safety rule
aatm,at all times
aaup,attention all users page
aawf,auxiliary aviation weather facility
aawta,advise at what time able
abdis,automated data interchange system service
abi,advance boundary information
ablchg,airborne launching
acais,air carrier activity information system
acars,aircraft communication addressing and reporting system
acas,airborne collision avoidance system
acdnt,accident
acdo,air carrier district office
acft,aircraft
acrbt, acrobatic
acs ,audio control system
acsep,aircraft certification systems evaluation program
acw,aircraft control and warning
ad ,airworthiness directive
adahrs ,air data and attitude heading reference system
adc ,"air data computer, or analog-to-digital converter"
adf,automatic direction finder
adfap,automatic direction finder approach
adi ,attitude director indicator
adirs ,air data inertial reference system
adiru ,air data inertial reference unit
adm ,air data module
adr ,airborne data reception
ads ,automatic dependent surveillance
ads-a ,automatic dependent surveillance-address
ads-b ,automatic dependent surveillance-broadcast
ads-c ,automatic dependent surveillance-contract
adsu,automatic dependent surveillance unit
adsy,administrative equipment systems
adtn,administrative data transmission network
advalt,allotment advice
advc,advice
advctn,advection
advn,advance
advo,administrative voice
adw,air defense warning
adz,advise
adzar,advise arrival
adzi,advise intentions
adzof,advise this office
adzy,advisory
aea,aircraft electronics association
aed,automated external defibrillator
aedt,aviation environmental design tool
aee,faa office of environment and energy
aeec,airlines electronic engineering committee
aeg,aircraft evaluation group
aeh ,airborne electronic hardware
aeng,airways engineer
aeo,all engines operating
aep,faa office of aviation policy planning and environment
aer,approach end runway
aera,automated en-route air traffic control
aero,aeronautical
aes,aircraft earth station
aesa ,active electronically scanned array
aeu,europe
aevac,air evacuation
aew,airborne early warning
aex,automated execution
afcs ,automatic flight control system
afd ,autopilot flight director
afdc ,autopilot flight director computer
afds ,autopilot flight director system
afdx ,avionics full-duplex switched ethernet
afil,filed flight plan in the air
afio,authorization for interceptor operations
afirm,affirmative
afis,aerodrome flight information service
afj,air force jet
afm,airplane flight manual
afms,airplane flight manual supplement
afnea,air force notam exchange area
afneo,air force notam exchange office
afo,airport field office
afovrn,air force overrun
afrep,air force representative
afres,air force reserve station
afrt,air freight
afsfo,afs field office
afsfu,afs field unit
afss,automated flight service station
afti,advanced fighter technology integration
aftil,airway facilities tower integration laboratory
aftn,automated fixed telecommunications network
afvg,anglo-french variable geometry
afz,resource management
aga,aerodromes and ground aids
agacs,automatic ground air/ground communication system
agacs ,automatic ground
agard,advisory group for aerospace and development
agb,accessory gear box
agc,faa office of the chief counsel
agdl ,air-ground data link
agl,above ground level
agm,air-to-ground missile
agn,again
agrmt,agreement
ags,automatic gain stabilization
ahc ,attitude heading control
ahd,ahead
ahr,faa office of human resources
ahrs,attitude and heading reference system
ahrs ,attitude heading reference system
aiaa,american institute of aeronautics and astronautics
aiag,automotive industry action group
aiatsc,all international air traffic switching centers
aic,aeronautical information circular
aics,aircraft inventory and charter system
aid,airport information desk
aidc,air traffic services inter-facility data communication
aids,airborne integrated data system
aids ,aircraft integrated data
aifp,activate ifr flight plan
aifss,automated international flight service
ails,automatic instrument landing system
aim ,aeronautical information manual
aip,aeronautical information publication
air ,aerospace information report
airac,aeronautical information regulation and control
aircomnet,air force communications network
airep,air report
airfl,air refueling
airmet,airmenâ€™s meteorological information
airnav,airports and navigation aids database system
airnet,airport network simulation model
airopnet,air operations network
airpac,advisor for the intelligent resolution of predicted aircraft
ais,aeronautical information service
ais ,airmen’s information system
al ,assurance level
alarp,as low as reasonably possible
als,approach light system
alt,altitude
altmoc,alternative means of complianceamo approved maintenance organisation 
amc,acceptable method of compliance
amdt,amendment
ame,aviation medical examiner
amed,advanced mechanical engine demonstrator
amp,aircraft maintenance programme 
amt,aviation maintenance technician
aoa,angles of attack
aoc,air operator certificate 
apnt,appoint
app,approach
apu,auxiliary power unit
arc,airworthiness review certificate 
arff,aircraft rescue and firefighting
arinc,aeronautical radio incorporated
arip,air refueling initial point
ars,airworthiness review staff 
asde,airport surface detection equipment
ash,security and hazardous materials safety
asi,airspeed indicator
asl,aerospace system level
asme,american society of mechanical engineers
asos,automated surface observing system
